match_id,match,team,bowler_name,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,no_balls
T20I # 1832,Sri Lanka Vs United Arab Emirates,Sri Lanka,Chamika Karunaratne,2,0,14,0,7.00,5,2,0,0,0
T20I # 1832,Sri Lanka Vs United Arab Emirates,Sri Lanka,Wanindu Hasaranga,4,1,8,3,2.00,17,0,0,0,0
T20I # 1832,Sri Lanka Vs United Arab Emirates,Sri Lanka,Dasun Shanaka,1.1,0,7,1,6.00,3,0,0,1,0
T20I # 1833,Scotland Vs Ireland,Scotland,Josh Little,4,0,30,1,7.50,10,2,1,1,0
T20I # 1833,Scotland Vs Ireland,Scotland,Mark Adair,4,0,23,1,5.75,12,2,0,2,0
T20I # 1833,Scotland Vs Ireland,Scotland,Barry McCarthy,4,0,59,0,14.75,4,6,3,1,1
T20I # 1833,Scotland Vs Ireland,Scotland,Gareth Delany,3,0,28,0,9.33,3,2,1,0,0
T20I # 1833,Scotland Vs Ireland,Scotland,Simi Singh,2,0,16,0,8.00,2,2,0,0,0
T20I # 1833,Scotland Vs Ireland,Scotland,Curtis Campher,2,0,9,2,4.50,7,1,0,0,0
T20I # 1833,Scotland Vs Ireland,Scotland,George Dockrell,1,0,9,0,9.00,1,1,0,0,0
T20I # 1833,Scotland Vs Ireland,Scotland,Mark Watt,4,0,39,1,9.75,10,2,1,2,0
T20I # 1833,Scotland Vs Ireland,Scotland,Brad Wheal,4,0,25,1,6.25,11,2,1,0,0
T20I # 1833,Scotland Vs Ireland,Scotland,Josh Davey,4,0,46,0,11.50,5,8,0,1,0
T20I # 1833,Scotland Vs Ireland,Scotland,Safyaan Sharif,3,0,32,1,10.66,3,4,0,1,0
T20I # 1833,Scotland Vs Ireland,Scotland,Chris Greaves,2,0,18,0,9.00,1,0,1,1,0
T20I # 1833,Scotland Vs Ireland,Scotland,Michael Leask,2,0,16,1,8.00,2,1,0,0,0
T20I # 1834,West Indies Vs Zimbabwe,West Indies,Richard Ngarava,3,0,20,0,6.66,9,1,1,1,0
T20I # 1834,West Indies Vs Zimbabwe,West Indies,Tendai Chatara,3,0,22,0,7.33,5,2,0,2,0
T20I # 1834,West Indies Vs Zimbabwe,West Indies,Blessing Muzarabani,4,0,38,2,9.50,10,2,2,2,1
T20I # 1834,West Indies Vs Zimbabwe,West Indies,Ryan Burl,3,0,27,0,9.00,5,3,1,0,0
T20I # 1834,West Indies Vs Zimbabwe,West Indies,Sikandar Raza,4,0,19,3,4.75,7,0,0,0,0
T20I # 1834,West Indies Vs Zimbabwe,West Indies,Sean Williams,3,0,17,1,5.66,7,1,0,0,1
T20I # 1834,West Indies Vs Zimbabwe,West Indies,Kyle Mayers,1,0,17,0,17.00,3,3,0,1,0
T20I # 1834,West Indies Vs Zimbabwe,West Indies,Akeal Hosein,4,0,25,1,6.25,12,1,1,1,1
T20I # 1834,West Indies Vs Zimbabwe,West Indies,Alzarri Joseph,4,0,16,4,4.00,16,1,1,0,0
T20I # 1834,West Indies Vs Zimbabwe,West Indies,Obed McCoy,3,0,19,1,6.33,9,3,0,0,0
T20I # 1834,West Indies Vs Zimbabwe,West Indies,Jason Holder,3.2,0,12,3,3.60,12,1,0,0,0
T20I # 1834,West Indies Vs Zimbabwe,West Indies,Odean Smith,3,0,31,1,10.33,8,4,1,1,1
T20I # 1835,Sri Lanka Vs Netherlands,Sri Lanka,Fred Klaassen,4,0,34,1,8.50,9,1,2,0,0
T20I # 1835,Sri Lanka Vs Netherlands,Sri Lanka,Tim Pringle,3,0,22,0,7.33,8,0,2,0,0
T20I # 1835,Sri Lanka Vs Netherlands,Sri Lanka,Roelof van der Merwe,3,0,16,0,5.33,10,2,0,0,0
T20I # 1835,Sri Lanka Vs Netherlands,Sri Lanka,Paul van Meekeren,4,0,25,2,6.25,11,3,0,1,0
T20I # 1835,Sri Lanka Vs Netherlands,Sri Lanka,Bas de Leede,3,0,31,2,10.33,5,2,2,0,0
T20I # 1835,Sri Lanka Vs Netherlands,Sri Lanka,Timm van der Gugten,3,0,31,1,10.33,3,2,1,0,0
T20I # 1835,Sri Lanka Vs Netherlands,Sri Lanka,Dhananjaya de Silva,1,0,5,0,5.00,1,0,0,0,0
T20I # 1835,Sri Lanka Vs Netherlands,Sri Lanka,Lahiru Kumara,4,0,28,1,7.00,14,2,1,1,0
T20I # 1835,Sri Lanka Vs Netherlands,Sri Lanka,Binura Fernando,4,0,33,1,8.25,11,4,1,1,0
T20I # 1835,Sri Lanka Vs Netherlands,Sri Lanka,Maheesh Theekshana,4,0,32,2,8.00,12,1,2,2,1
T20I # 1835,Sri Lanka Vs Netherlands,Sri Lanka,Wanindu Hasaranga,4,0,28,3,7.00,11,3,0,0,0
T20I # 1835,Sri Lanka Vs Netherlands,Sri Lanka,Chamika Karunaratne,2,0,11,0,5.50,6,1,0,1,0
T20I # 1835,Sri Lanka Vs Netherlands,Sri Lanka,Dasun Shanaka,1,0,7,0,7.00,3,1,0,0,0
T20I # 1836,United Arab Emirates Vs Namibia,United Arab Emirates,Ruben Trumpelmann,4,0,22,0,5.50,10,0,0,3,0
T20I # 1836,United Arab Emirates Vs Namibia,United Arab Emirates,David Wiese,4,0,27,1,6.75,12,2,1,1,0
T20I # 1836,United Arab Emirates Vs Namibia,United Arab Emirates,Bernard Scholtz,4,0,22,1,5.50,11,1,1,0,0
T20I # 1836,United Arab Emirates Vs Namibia,United Arab Emirates,JJ Smit,4,0,39,0,9.75,11,2,3,0,0
T20I # 1836,United Arab Emirates Vs Namibia,United Arab Emirates,Jan Frylinck,3,0,30,0,10.00,3,2,1,1,0
T20I # 1836,United Arab Emirates Vs Namibia,United Arab Emirates,Ben Shikongo,1,0,8,1,8.00,1,1,0,0,0
T20I # 1836,United Arab Emirates Vs Namibia,United Arab Emirates,Basil Hameed,3,0,17,2,5.66,10,2,0,0,0
T20I # 1836,United Arab Emirates Vs Namibia,United Arab Emirates,Junaid Siddique,4,0,35,1,8.75,8,3,1,2,0
T20I # 1836,United Arab Emirates Vs Namibia,United Arab Emirates,Zahoor Khan,4,0,20,2,5.00,15,1,0,2,2
T20I # 1836,United Arab Emirates Vs Namibia,United Arab Emirates,Ahmed Raza,1,0,9,0,9.00,1,1,0,0,0
T20I # 1836,United Arab Emirates Vs Namibia,United Arab Emirates,Karthik Meiyappan,4,0,34,1,8.50,8,2,2,0,0
T20I # 1836,United Arab Emirates Vs Namibia,United Arab Emirates,Aayan Afzal Khan,2,0,7,0,3.50,5,0,0,0,0
T20I # 1836,United Arab Emirates Vs Namibia,United Arab Emirates,Muhammad Waseem,2,0,16,1,8.00,3,0,1,0,0
T20I # 1837,West Indies Vs Ireland,West Indies,Josh Little,4,0,31,0,7.75,8,1,2,1,0
T20I # 1837,West Indies Vs Ireland,West Indies,Mark Adair,4,0,26,0,6.50,12,1,1,4,0
T20I # 1837,West Indies Vs Ireland,West Indies,Barry McCarthy,4,0,33,1,8.25,9,3,1,1,0
T20I # 1837,West Indies Vs Ireland,West Indies,Curtis Campher,2,0,28,0,14.00,2,4,1,0,0
T20I # 1837,West Indies Vs Ireland,West Indies,Simi Singh,2,0,11,1,5.50,4,1,0,0,0
T20I # 1837,West Indies Vs Ireland,West Indies,Gareth Delany,4,0,16,3,4.00,12,1,0,1,0
T20I # 1837,West Indies Vs Ireland,West Indies,Obed McCoy,3.3,0,27,0,7.71,11,2,2,0,0
T20I # 1837,West Indies Vs Ireland,West Indies,Akeal Hosein,4,0,38,1,9.50,5,2,2,0,0
T20I # 1837,West Indies Vs Ireland,West Indies,Alzarri Joseph,4,0,39,0,9.75,9,3,2,1,0
T20I # 1837,West Indies Vs Ireland,West Indies,Odean Smith,2,0,23,0,11.50,4,3,1,0,1
T20I # 1837,West Indies Vs Ireland,West Indies,Jason Holder,4,0,23,0,5.75,7,1,0,0,0
T20I # 1838,Scotland Vs Zimbabwe,Scotland,Tendai Chatara,4,1,14,2,3.50,14,1,0,0,0
T20I # 1838,Scotland Vs Zimbabwe,Scotland,Richard Ngarava,4,0,28,2,7.00,12,4,0,1,1
T20I # 1838,Scotland Vs Zimbabwe,Scotland,Blessing Muzarabani,4,0,34,1,8.50,9,5,0,0,2
T20I # 1838,Scotland Vs Zimbabwe,Scotland,Sean Williams,3,0,19,0,6.33,4,1,0,0,0
T20I # 1838,Scotland Vs Zimbabwe,Scotland,Sikandar Raza,4,0,20,1,5.00,10,0,0,2,0
T20I # 1838,Scotland Vs Zimbabwe,Scotland,Wessly Madhevere,1,0,7,0,7.00,1,0,0,0,0
T20I # 1838,Scotland Vs Zimbabwe,Scotland,Brad Wheal,4,0,26,1,6.50,12,4,0,0,0
T20I # 1838,Scotland Vs Zimbabwe,Scotland,Josh Davey,3,0,16,2,5.33,8,1,0,0,1
T20I # 1838,Scotland Vs Zimbabwe,Scotland,Safyaan Sharif,2.3,0,23,0,9.20,4,3,0,0,1
T20I # 1838,Scotland Vs Zimbabwe,Scotland,Mark Watt,4,0,19,1,4.75,9,1,0,0,0
T20I # 1838,Scotland Vs Zimbabwe,Scotland,Michael Leask,4,0,36,1,9.00,4,2,1,0,0
T20I # 1838,Scotland Vs Zimbabwe,Scotland,Calum MacLeod,1,0,11,0,11.00,0,0,1,0,0
T20I # 1839,New Zealand Vs Australia,New Zealand,Mitchell Starc,4,0,36,0,9.00,5,3,1,0,0
T20I # 1839,New Zealand Vs Australia,New Zealand,Josh Hazlewood,4,0,41,2,10.25,8,5,1,1,0
T20I # 1839,New Zealand Vs Australia,New Zealand,Pat Cummins,4,0,46,0,11.50,8,4,2,2,0
T20I # 1839,New Zealand Vs Australia,New Zealand,Marcus Stoinis,4,0,38,0,9.50,3,1,2,1,0
T20I # 1839,New Zealand Vs Australia,New Zealand,Adam Zampa,4,0,39,1,9.75,4,2,2,1,0
T20I # 1839,New Zealand Vs Australia,New Zealand,Trent Boult,4,0,24,2,6.00,13,2,1,1,0
T20I # 1839,New Zealand Vs Australia,New Zealand,Tim Southee,2.1,0,6,3,2.76,10,1,0,0,0
T20I # 1839,New Zealand Vs Australia,New Zealand,Mitchell Santner,4,0,31,3,7.75,10,2,2,0,0
T20I # 1839,New Zealand Vs Australia,New Zealand,Lockie Ferguson,3,0,20,1,6.66,9,2,1,0,0
T20I # 1839,New Zealand Vs Australia,New Zealand,Ish Sodhi,4,0,29,1,7.25,8,2,1,1,0
T20I # 1840,Afghanistan Vs England,Afghanistan,Ben Stokes,4,0,19,2,4.75,14,2,0,1,0
T20I # 1840,Afghanistan Vs England,Afghanistan,Chris Woakes,4,0,24,1,6.00,15,2,1,1,0
T20I # 1840,Afghanistan Vs England,Afghanistan,Mark Wood,4,0,23,2,5.75,14,2,1,0,0
T20I # 1840,Afghanistan Vs England,Afghanistan,Sam Curran,3.4,0,10,5,2.72,16,1,0,1,0
T20I # 1840,Afghanistan Vs England,Afghanistan,Adil Rashid,4,0,32,0,8.00,4,1,1,0,0
T20I # 1840,Afghanistan Vs England,Afghanistan,Fazalhaq Farooqi,4,0,24,1,6.00,15,2,1,3,0
T20I # 1840,Afghanistan Vs England,Afghanistan,Azmatullah Omarzai,1.1,0,11,0,9.42,2,1,0,3,0
T20I # 1840,Afghanistan Vs England,Afghanistan,Mujeeb Ur Rahman,4,0,22,1,5.50,10,1,0,0,0
T20I # 1840,Afghanistan Vs England,Afghanistan,Rashid Khan,4,0,17,1,4.25,10,0,0,0,0
T20I # 1840,Afghanistan Vs England,Afghanistan,Fareed Ahmad,2,0,23,1,11.50,2,2,0,1,0
T20I # 1840,Afghanistan Vs England,Afghanistan,Mohammad Nabi,3,0,16,1,5.33,6,0,0,0,0
T20I # 1841,Ireland Vs Sri Lanka,Ireland,Binura Fernando,4,0,27,1,6.75,10,3,0,1,0
T20I # 1841,Ireland Vs Sri Lanka,Ireland,Lahiru Kumara,2,0,12,1,6.00,6,2,0,0,0
T20I # 1841,Ireland Vs Sri Lanka,Ireland,Maheesh Theekshana,4,0,19,2,4.75,8,1,0,0,0
T20I # 1841,Ireland Vs Sri Lanka,Ireland,Chamika Karunaratne,4,0,29,1,7.25,7,2,1,0,0
T20I # 1841,Ireland Vs Sri Lanka,Ireland,Wanindu Hasaranga,4,0,25,2,6.25,6,0,1,0,0
T20I # 1841,Ireland Vs Sri Lanka,Ireland,Dhananjaya de Silva,2,0,13,1,6.50,3,1,0,0,0
T20I # 1841,Ireland Vs Sri Lanka,Ireland,Josh Little,4,0,45,0,11.25,5,4,1,1,0
T20I # 1841,Ireland Vs Sri Lanka,Ireland,Mark Adair,2,0,16,0,8.00,2,1,0,0,0
T20I # 1841,Ireland Vs Sri Lanka,Ireland,Barry McCarthy,2,0,16,0,8.00,4,0,1,0,0
T20I # 1841,Ireland Vs Sri Lanka,Ireland,Gareth Delany,4,0,28,1,7.00,8,3,0,2,0
T20I # 1841,Ireland Vs Sri Lanka,Ireland,Curtis Campher,1,0,8,0,8.00,2,1,0,0,0
T20I # 1841,Ireland Vs Sri Lanka,Ireland,Simi Singh,2,0,20,0,10.00,3,0,2,0,0
T20I # 1842,Pakistan Vs India,Pakistan,Bhuvneshwar Kumar,4,0,22,1,5.50,17,1,1,3,0
T20I # 1842,Pakistan Vs India,Pakistan,Arshdeep Singh,4,0,32,3,8.00,10,3,1,1,0
T20I # 1842,Pakistan Vs India,Pakistan,Mohammed Shami,4,0,25,1,6.25,14,4,0,1,0
T20I # 1842,Pakistan Vs India,Pakistan,Hardik Pandya,4,0,30,3,7.50,10,4,0,0,0
T20I # 1842,Pakistan Vs India,Pakistan,Ravichandran Ashwin,3,0,23,0,7.66,5,0,1,1,0
T20I # 1842,Pakistan Vs India,Pakistan,Axar Patel,1,0,21,0,21.00,2,0,3,0,0
T20I # 1842,Pakistan Vs India,Pakistan,Shaheen Shah Afridi,4,0,34,0,8.50,7,4,0,1,0
T20I # 1842,Pakistan Vs India,Pakistan,Naseem Shah,4,0,23,1,5.75,10,1,0,0,0
T20I # 1842,Pakistan Vs India,Pakistan,Haris Rauf,4,0,36,2,9.00,11,2,2,1,0
T20I # 1842,Pakistan Vs India,Pakistan,Shadab Khan,4,0,21,0,5.25,10,2,0,0,0
T20I # 1842,Pakistan Vs India,Pakistan,Mohammad Nawaz,4,0,42,2,10.50,8,0,4,2,1
T20I # 1843,Bangladesh Vs Netherlands,Bangladesh,Fred Klaassen,4,0,33,1,8.25,10,5,0,3,0
T20I # 1843,Bangladesh Vs Netherlands,Bangladesh,Colin Ackermann,1,0,4,0,4.00,2,0,0,0,0
T20I # 1843,Bangladesh Vs Netherlands,Bangladesh,Paul van Meekeren,4,0,21,2,5.25,10,1,0,0,0
T20I # 1843,Bangladesh Vs Netherlands,Bangladesh,Bas de Leede,3,0,29,2,9.66,9,3,1,3,0
T20I # 1843,Bangladesh Vs Netherlands,Bangladesh,Tim Pringle,2,0,10,1,5.00,4,0,0,0,0
T20I # 1843,Bangladesh Vs Netherlands,Bangladesh,Shariz Ahmad,3,0,27,1,9.00,5,1,2,0,0
T20I # 1843,Bangladesh Vs Netherlands,Bangladesh,Logan van Beek,3,0,12,1,4.00,7,0,0,1,0
T20I # 1843,Bangladesh Vs Netherlands,Bangladesh,Taskin Ahmed,4,0,25,4,6.25,16,5,0,0,0
T20I # 1843,Bangladesh Vs Netherlands,Bangladesh,Hasan Mahmud,4,1,15,2,3.75,16,2,0,0,0
T20I # 1843,Bangladesh Vs Netherlands,Bangladesh,Shakib Al Hasan,4,0,32,1,8.00,6,0,2,1,0
T20I # 1843,Bangladesh Vs Netherlands,Bangladesh,Mustafizur Rahman,4,0,20,0,5.00,14,2,0,2,0
T20I # 1843,Bangladesh Vs Netherlands,Bangladesh,Soumya Sarkar,3,0,29,1,9.66,5,2,1,1,0
T20I # 1843,Bangladesh Vs Netherlands,Bangladesh,Mosaddek Hossain,1,0,14,0,14.00,0,0,1,0,1
T20I # 1844,Zimbabwe Vs South Africa,Zimbabwe,Kagiso Rabada,2,0,20,0,10.00,4,2,1,0,0
T20I # 1844,Zimbabwe Vs South Africa,Zimbabwe,Wayne Parnell,2,0,6,1,3.00,9,1,0,0,0
T20I # 1844,Zimbabwe Vs South Africa,Zimbabwe,Lungi Ngidi,2,0,20,2,10.00,6,2,1,2,0
T20I # 1844,Zimbabwe Vs South Africa,Zimbabwe,Keshav Maharaj,1,0,10,0,10.00,1,1,0,0,0
T20I # 1844,Zimbabwe Vs South Africa,Zimbabwe,Anrich Nortje,2,0,10,1,5.00,5,0,0,0,0
T20I # 1844,Zimbabwe Vs South Africa,Zimbabwe,Tendai Chatara,1,0,23,0,23.00,0,4,1,0,0
T20I # 1844,Zimbabwe Vs South Africa,Zimbabwe,Richard Ngarava,1,0,17,0,17.00,2,4,0,0,1
T20I # 1844,Zimbabwe Vs South Africa,Zimbabwe,Sikandar Raza,1,0,11,0,11.00,1,0,0,0,1
T20I # 1845,Sri Lanka Vs Australia,Sri Lanka,Josh Hazlewood,4,0,26,1,6.50,13,3,0,3,0
T20I # 1845,Sri Lanka Vs Australia,Sri Lanka,Pat Cummins,4,0,36,1,9.00,12,5,1,2,0
T20I # 1845,Sri Lanka Vs Australia,Sri Lanka,Mitchell Starc,4,0,23,1,5.75,13,1,0,1,0
T20I # 1845,Sri Lanka Vs Australia,Sri Lanka,Ashton Agar,4,0,25,1,6.25,8,1,0,1,0
T20I # 1845,Sri Lanka Vs Australia,Sri Lanka,Marcus Stoinis,2,0,17,0,8.50,1,1,0,1,0
T20I # 1845,Sri Lanka Vs Australia,Sri Lanka,Mitchell Marsh,1,0,14,0,14.00,1,1,1,0,0
T20I # 1845,Sri Lanka Vs Australia,Sri Lanka,Glenn Maxwell,1,0,5,1,5.00,2,0,0,0,0
T20I # 1845,Sri Lanka Vs Australia,Sri Lanka,Binura Fernando,0.5,0,5,0,6.00,2,0,0,0,0
T20I # 1845,Sri Lanka Vs Australia,Sri Lanka,Dhananjaya de Silva,2.1,0,18,1,8.30,4,1,1,0,0
T20I # 1845,Sri Lanka Vs Australia,Sri Lanka,Lahiru Kumara,3.3,0,22,0,6.28,15,0,1,3,0
T20I # 1845,Sri Lanka Vs Australia,Sri Lanka,Chamika Karunaratne,3,0,20,1,6.66,6,1,0,1,0
T20I # 1845,Sri Lanka Vs Australia,Sri Lanka,Maheesh Theekshana,3,0,23,1,7.66,11,0,3,1,0
T20I # 1845,Sri Lanka Vs Australia,Sri Lanka,Wanindu Hasaranga,3,0,53,0,17.66,0,3,5,0,0
T20I # 1845,Sri Lanka Vs Australia,Sri Lanka,Dasun Shanaka,1,0,10,0,10.00,2,2,0,0,0
T20I # 1846,Ireland Vs England,Ireland,Ben Stokes,2.2,0,8,1,3.42,7,0,0,0,0
T20I # 1846,Ireland Vs England,Ireland,Chris Woakes,3,0,41,0,13.66,4,6,1,2,0
T20I # 1846,Ireland Vs England,Ireland,Mark Wood,4,0,34,3,8.50,13,4,1,2,0
T20I # 1846,Ireland Vs England,Ireland,Sam Curran,3,0,31,2,10.33,7,1,2,0,0
T20I # 1846,Ireland Vs England,Ireland,Adil Rashid,4,0,24,0,6.00,6,1,0,0,0
